"Beautiful, Bright Apt. with free parking",Toronto,$70,349 reviews,4.90,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n730 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']"
Luxurious penthouse duplex - Downtown Central,Toronto,$133,250 reviews,4.29,"['8 guests', '1 bedroom', '4 beds', '1 bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
Room Fancy Red w/ Private Bath - Downtown Central,Toronto,$60,376 reviews,4.36,"['4 guests', 'Studio', '2 beds', '1 private bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
Studio Symmetric,Toronto,$77,367 reviews,4.48,"['6 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
"10% off, Modern, 15' Airport, York uni, Yorkdale",Toronto,$23,90 reviews,4.82,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n247 Reviews', '\U000f0019\nVerified']"
Private Downtown Center Room/Clean/Quiet,Toronto,$25,244 reviews,4.81,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n722 Reviews', '\U000f0019\nVerified']"
Room Wave. with Private Washroom - Little Italy,Toronto,$60,283 reviews,4.49,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
Near CN Tower | Luxury Condo| One bedroom| Lounge,Toronto,$69,218 reviews,4.78,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n345 Reviews', '\U000f0019\nVerified']"
"Modern Condo with FREE PARKING by CN Tower, Scotiabank Arena & MTCC",Toronto,$100,239 reviews,4.83,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n809 Reviews', '\U000f0019\nVerified']"
Slick 1 bedroom loft at Downtown Central,Toronto,$74,354 reviews,4.32,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
Stylish Downtown Cozy Room,Toronto,$60,318 reviews,4.63,"['1 guest', '1 bedroom', '1 bed', '2 shared baths', '\U000f0004\n2235 Reviews', '\U000f0019\nVerified']"
1BR Breathtaking 35+ Floor CN Tower View,Toronto,$97,236 reviews,4.83,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n790 Reviews', '\U000f0019\nVerified']"
"The Nook,free parking,steps to GO station & Subway",Toronto,$50,182 reviews,4.85,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n182 Reviews', '\U000f0019\nVerified']"
Modern Condo near CN Tower WITH FREE PARKING,Toronto,$95,450 reviews,4.74,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n450 Reviews', '\U000f0019\nVerified']"
Cozy 2 Bedrooms Loft at Downtown Core,Toronto,$92,359 reviews,4.39,"['8 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
Studio Urban,Toronto,$78,265 reviews,4.37,"['6 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
Modern and cute suit Close to Lake ON,Toronto,$99,478 reviews,4.68,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n502 Reviews', '\U000f0019\nVerified']"
Enjoy a trendy condo downtown in Yorkville +a view,Toronto,$56,78 reviews,4.53,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n543 Reviews', '\U000f0019\nVerified']"
Downtown Condo Beside CN Tower,Toronto,$115,398 reviews,4.90,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n1797 Reviews', '\U000f0019\nVerified']"
Sun Filled Photographic Hard Loft,Toronto,$175,355 reviews,4.96,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n492 Reviews', '\U000f0019\nVerified']"
Room Fresh Blue - Little Italy,Toronto,$43,237 reviews,4.35,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
