house_title,house_type,house_location,price,no_of_reviews,rating,house_detail,amenity_detail
Modern Yorkville Condo Downtown + Unlimited WiFi!,Entire home,Toronto,$75 ,81 reviews,4.7,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n547 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym', 'All hosts must meet our requirements and maintain a high overall rating.']"
High Park North Studio,Entire home,Toronto,$60 ,280 reviews,4.78,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n280 Reviews', '\U000f0019\nVerified']","['Essentials', 'Heating', 'Hot water', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
King West - Fashion & Entertainment District,Entire home,Toronto,$69 ,147 reviews,4.89,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n147 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
2BR AMAZING 50+ Floor CN Tower View,Entire home,Toronto,$129 ,268 reviews,4.8,"['6 guests', '2 bedrooms', '4 beds', '1.5 baths', '\U000f0004\n790 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
"(A)CN views!Convention center, Two bd/two wash",Entire home,Toronto,$112 ,243 reviews,4.9,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n2113 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
Private Room in a stunning lake view location,Brian is a Superhost,Toronto,$85 ,93 reviews,4.78,"['1 guest', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n93 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Hot tub', 'Gym', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
Spectacular Downtown High-Rise Condo!,Entire home,Toronto,$76 ,257 reviews,4.71,"['2 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n533 Reviews']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
Modern Studio Apartment Central Downtown,Entire home,Toronto,$100 ,162 reviews,4.82,"['2 guests', 'Studio', '0 beds', '1 bath', '\U000f0004\n162 Reviews', '\U000f0019\nVerified']","['Elevator', 'Breakfast', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Cool studio with parking. Dundas square,Central",Entire home,Toronto,$86 ,173 reviews,4.78,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n2113 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Smoke detector\nSmoke detector', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
PRIVATE: Bath/Garden&View/Parking/Quiet,Entire home,Toronto,$99 ,449 reviews,4.92,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n449 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Wifi', 'Laptop-friendly workspace', 'Iron', 'Dryer', 'All hosts must meet our requirements and maintain a high overall rating.']"
Cozy getaway,Entire home,Toronto,$65 ,111 reviews,4.83,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n111 Reviews']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Hangers', 'All hosts must meet our requirements and maintain a high overall rating.']"
"10% off, Cozy Room 15' Airport, York uni, Yorkdale",Sofia is a Superhost,Toronto,$24 ,83 reviews,4.72,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n248 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Private hotel room-No Cleaning fee! Free breakfast,Sparkling clean,Toronto,$90 ,84 reviews,4.36,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n820 Reviews', '\U000f0019\nVerified']","['Breakfast', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Beautiful 2 BR in Ideal Location,Entire home,Toronto,$90 ,393 reviews,4.69,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n393 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Private Room in Downtown Toronto RM1,Graeme is a Superhost,Toronto,$53 ,400 reviews,4.78,"['1 guest', '1 bedroom', '1 bed', '1.5 shared baths', '\U000f0004\n931 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Dryer', 'Washer', 'All hosts must meet our requirements and maintain a high overall rating.']"
Charming and Secluded Toronto Downton Apartment,Entire home,Toronto,$70 ,146 reviews,4.97,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n146 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
