house_title,house_type,house_location,price,no_of_reviews,rating,house_detail,amenity_detail
"Modern Condo near CN Tower, Scotiabank Arena, Rogers Centre & MTCC with FREE PARKING",Entire home,Toronto,$90 ,239 reviews,4.83,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n808 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
Modern Condo near CN Tower WITH FREE PARKING,Entire home,Toronto,$95 ,450 reviews,4.74,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n450 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Luxurious Condo w/ Parking, Pool, 3 Beds & Views",Entire home,Toronto,$100 ,304 reviews,4.83,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n411 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
Downtown Condo,Entire home,Toronto,$100 ,216 reviews,4.8,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n288 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Downtown -- Quiet, Luxury Room",Harry is a Superhost,Toronto,$76 ,477 reviews,4.94,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n1858 Reviews', '\U000f0019\nVerified']","['Wifi', 'Cable TV', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Slick 1 bedroom loft at Downtown Central,Entire home,Toronto,$92 ,355 reviews,4.32,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
"2 BDRM + Parking + Sofabed - Ent. District, MTCC",Entire home,Toronto,$111 ,172 reviews,4.66,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n172 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
"10% off, Modern, 15' Airport, York uni, Yorkdale",Sofia is a Superhost,Toronto,$32 ,91 reviews,4.82,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n248 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Private separate apartment. Fully stocked kitchen,Entire home,Toronto,$70 ,186 reviews,4.74,"['4 guests', 'Studio', '0 beds', '1 bath', '\U000f0004\n186 Reviews', '\U000f0019\nVerified']","['Indoor fireplace', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Luxury 2BR Condo Across CN Tower, Union, TIFF/MTCC",Entire home,Toronto,$125 ,373 reviews,4.91,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n1052 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Cozy Studio in Little Portugal,Entire home,Toronto,$66 ,104 reviews,4.89,"['2 guests', 'Studio', '0 beds', '1 bath', '\U000f0004\n327 Reviews', '\U000f0019\nVerified']","['Indoor fireplace', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Modern Studio with Free Parking,Entire home,Toronto,$87 ,342 reviews,4.91,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n891 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
Downtown Toronto - Private Room (NO EXTRA FEES),Sparkling clean,Toronto,$50 ,321 reviews,4.7,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n327 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Cozy,Trendy & Private Apartment with Free Parking",Entire home,Toronto,$80 ,212 reviews,4.91,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n212 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Private suite. Downtown TO East end Danforth,Entire home,Toronto,$99 ,334 reviews,4.81,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n334 Reviews', '\U000f0019\nVerified']","['Wifi', 'Laptop-friendly workspace', 'TV', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
East Downtown Bachelor Unit with Paid Parking,Entire home,Toronto,$38 ,74 reviews,4.7,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n142 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Lake Veiw Cozy, Totally Privat Toronto Studio.",Entire home,Toronto,$38 ,44 reviews,4.72,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n650 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
DownTown living condo,Entire home,Toronto,$138 ,317 reviews,4.64,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n941 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
Cozy Room in a Condo,Sparkling clean,Toronto,$34 ,176 reviews,4.67,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n271 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Indoor fireplace', 'Wifi', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
Modern Renovated Bachelor Apartment,Entire home,Toronto,$85 ,149 reviews,4.72,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n149 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Great View from Cozy Studio ☆ 5-Star Value,Entire home,Toronto,$72 ,112 reviews,4.71,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n1551 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub', 'All hosts must meet our requirements and maintain a high overall rating.']"
"U of T, museums, galleries,shopping",Entire home,Toronto,$90 ,133 reviews,4.95,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n175 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
Private basement suite right next to the subway,Entire home,Toronto,$80 ,224 reviews,4.87,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n224 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Modern hotel room-No cleaning fee!+ Breakfast!,Breakfast,Toronto,$99 ,118 reviews,4.65,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n820 Reviews', '\U000f0019\nVerified']","['Breakfast', 'Wifi', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
1+Den Luxury Condo,Entire home,Toronto,$110 ,182 reviews,4.91,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n191 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym', 'All hosts must meet our requirements and maintain a high overall rating.']"
57th Floor Luxury Condo in the Clouds,Entire home,Toronto,$119 ,177 reviews,4.84,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n126 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub', 'All hosts must meet our requirements and maintain a high overall rating.']"
Bright and Spacious Suite - Close to Yorkdale,Entire home,Toronto,$76 ,69 reviews,4.86,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n69 Reviews']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Newly renovated private suite in architectural gem,Entire home,Toronto,$77 ,323 reviews,4.93,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n323 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Stylish Downtown Lovely Room,Sparkling clean,Toronto,$60 ,435 reviews,4.51,"['2 guests', '1 bedroom', '1 bed', '2 shared baths', '\U000f0004\n2235 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
Executive Suite - Entertainment District,Entire home,Toronto,$100 ,243 reviews,4.93,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n359 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Entire 1 Bedroom Apartment. Toronto,Entire home,Toronto,,,4.47,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n264 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
HOME away from home.,Entire home,Toronto,$99 ,86 reviews,4.74,"['5 guests', '3 bedrooms', '3 beds', '1 bath', '\U000f0004\n86 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Condo style apartment on Bloor! Sleeps 7!,Entire home,Toronto,$73 ,46 reviews,4.07,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
☆ Luxury Condo Close to CN Tower + FREE parking ☆,Entire home,Toronto,$82 ,71 reviews,4.92,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n224 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
High-Floor City View Downtown Toronto Suite | 2 BR,Entire home,Toronto,$140 ,58 reviews,4.6,"['4 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n359 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Downtown condo overlooking CN tower/lake/Airport,Entire home,Toronto,$100 ,28 reviews,4.82,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n28 Reviews']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
Home away from home,Entire home,Toronto,$61 ,149 reviews,4.24,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n422 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Cable TV', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Private Upper Suite in Townhome,Entire home,Toronto,$125 ,270 reviews,4.7,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n1060 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Cable TV', 'Laptop-friendly workspace', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
City&Lake View Downtown 2Bdrm Condo w/Free Parking,Entire home,Toronto,$169 ,51 reviews,4.88,"['4 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n51 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
2BD+2BR Condo in St Lawrence&Distillery District,Entire home,Toronto,$130 ,142 reviews,4.85,"['5 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n7 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Toronto Little Mansion on the 30th Floor,Entire home,Toronto,$120 ,132 reviews,4.8,"['4 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n132 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Exquisite Upscale Home near YorkdaleMall & Hwy 401,Entire home,Toronto,$280 ,116 reviews,4.89,"['10 guests', '5 bedrooms', '5 beds', '3 baths', '\U000f0004\n124 Reviews', '\U000f0019\nVerified']","['Indoor fireplace', 'Wifi', 'Kitchen', 'TV', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Sleek Downtown Gem: Panoramic Views!,Entire home,Toronto,$113 ,51 reviews,4.71,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n53 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Immaculate 2 BR Suite | Free Parking |Luxury Condo,Entire home,Toronto,$114 ,26 reviews,4.69,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n189 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Renovated 2BR Apt - Queen St with 2 Free Parkings!,Entire home,Toronto,$130 ,162 reviews,4.75,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n245 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
"Luxurious Condo near CN Tower, Scotiabank Arena, Rogers Centre, TIFF with FREE PARKING",Entire home,Toronto,$150 ,120 reviews,4.83,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n808 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Lavish 2 bedroom 2 bath w/ Lake and CN Tower views,Entire home,Toronto,$170 ,306 reviews,4.84,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n306 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
"Spacious,stylish condo DT/Liberty Village",Entire home,Toronto,$127 ,94 reviews,4.85,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n94 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
High Rise With Gorgeous Views,Entire home,Toronto,$110 ,102 reviews,4.81,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n836 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
"3BRs, Newly Renovated Private Bsmt, free parking",,Toronto,$79 ,181 reviews,4.59,"['7 guests', '3 bedrooms', '4 beds', '1 private bath', '\U000f0004\n181 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Exquisite condo near CN tower,Entire home,Toronto,$109 ,66 reviews,4.62,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n583 Reviews', '\U000f0019\nVerified']","['Air conditioning', 'Dryer', 'Essentials', 'Heating', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Premium 2BR+2BA King Bed - Downtown/ TIFF/ Skyline,Entire home,Toronto,$160 ,71 reviews,4.82,"['7 guests', '2 bedrooms', '5 beds', '2 baths', '\U000f0004\n168 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
"Ent. District, Lakeview 3 BR + 2 BA + Parking",Entire home,Toronto,$149 ,106 reviews,4.7,"['8 guests', '3 bedrooms', '4 beds', '2 baths', '\U000f0004\n130 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Sub-Penthouse Condo by ACC w/ Spectacular Views,Entire home,Toronto,$140 ,197 reviews,4.8,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n683 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Luxury Annex 3 bedroom house 5 Minutes from Subway,Entire home,Toronto,$130 ,150 reviews,4.91,"['8 guests', '3 bedrooms', '4 beds', '2.5 baths', '\U000f0004\n289 Reviews', '\U000f0019\nVerified']","['Breakfast', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Bright and Airy 3 Bedroom Apartment w/ Parking,Entire home,Toronto,$150 ,125 reviews,4.99,"['5 guests', '3 bedrooms', '3 beds', '1 bath', '\U000f0004\n125 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
⭐️ Toronto 2 BR Condo with a view ⭐️,Entire home,Toronto,$107 ,78 reviews,4.72,"['6 guests', '2 bedrooms', '3 beds', '1.5 baths', '\U000f0004\n323 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
2BR + 3 BED + Parking - MTCC/Jays/CN Tower,Entire home,Toronto,$104 ,91 reviews,4.74,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n139 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Stunning 1+Den with CN Tower Views.,Entire home,Toronto,$109 ,148 reviews,4.8,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n300 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Spacious 3 Bedroom Home incl Free Parking & WiFi,Entire home,Toronto,$104 ,175 reviews,4.73,"['8 guests', '3 bedrooms', '4 beds', '1.5 baths', '\U000f0004\n224 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Indoor fireplace', 'Breakfast', 'Wifi', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
"Bright, Modern Highrise 2BR MapleLeaf Sq. +Balcony",Entire home,Toronto,$128 ,108 reviews,4.76,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n111 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
"Luxury Condo Next to CN TOWER.,TIFF&MTCC",Entire home,Toronto,$115 ,222 reviews,4.85,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n1121 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Downtown Luxury condo w/ Panoramic View!!!,Entire home,Toronto,$120 ,81 reviews,4.94,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n81 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
❤️**COLOURFUL DESIGNER 3 Bedroom Condo w/ Parking,Entire home,Toronto,$141 ,191 reviews,4.73,"['8 guests', '3 bedrooms', '3 beds', '2 baths', '\U000f0004\n836 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Simplistic +minutes from Toronto’s top attractions,Entire home,Toronto,$108 ,49 reviews,4.51,"['6 guests', '3 bedrooms', '3 beds', '2 baths', '\U000f0004\n49 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Spacious Central Apt 10mins to Downtown! Free Prk!,Entire home,Toronto,$89 ,160 reviews,4.36,"['9 guests', '3 bedrooms', '4 beds', '1 bath', '\U000f0004\n385 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
"3 Bed 2 Bath + Parking - MTCC, Jays, CN Tower",Entire home,Toronto,$200 ,272 reviews,4.83,"['8 guests', '3 bedrooms', '4 beds', '2 baths', '\U000f0004\n365 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
2BDRM Free Parking Panoramic View Entertain. Dist.,Entire home,Toronto,$80 ,276 reviews,4.81,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n276 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
*******beautiful cozy home,Entire home,Toronto,$66 ,172 reviews,4.74,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n244 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
2 Bed 2 Bath across from CN tower /w free parking,Entire home,Toronto,$135 ,210 reviews,4.71,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n411 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
2 BR + 2 Sofabed + Parking by CN / Convention Cnt,Entire home,Toronto,$89 ,172 reviews,4.63,"['8 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n281 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
VIEWS+PARKING+LOCATION= Best Downtown Experience,Entire home,Toronto,$165 ,312 reviews,4.92,"['6 guests', '3 bedrooms', '3 beds', '1 bath', '\U000f0004\n428 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
"Artistic Inspired - 2 BR, 3 Double Beds + Parking",Entire home,Toronto,$125 ,217 reviews,4.78,"['8 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n217 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
"3.5 BDRM + 2 Bath + Parking - MTCC, CN, Waterfront",Entire home,Toronto,$99 ,74 reviews,4.57,"['8 guests', '3 bedrooms', '5 beds', '2 baths', '\U000f0004\n97 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Bright and Airy Two Bedroom With Parking,Entire home,Toronto,$80 ,323 reviews,4.68,"['5 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n362 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Spacious 3BD+2BR Condo with Beautiful Water Views,Entire home,Toronto,$133 ,277 reviews,4.69,"['8 guests', '3 bedrooms', '4 beds', '2 baths', '\U000f0004\n32 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Bearbury Beauty,Entire home,Toronto,$100 ,37 reviews,4.84,"['8 guests', '3 bedrooms', '4 beds', '1 bath', '\U000f0004\n183 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
❤️Perfect Family Suite 3Bdrms 2Bath+Parkg CN Tower,Entire home,Toronto,$125 ,69 reviews,4.81,"['8 guests', '3 bedrooms', '4 beds', '2 baths', '\U000f0004\n836 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
New Skyline Waterfront - 3 BR +2 BATH+Parking-MTCC,Entire home,Toronto,$81 ,51 reviews,4.59,"['8 guests', '3 bedrooms', '4 beds', '2 baths', '\U000f0004\n526 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
Alluring 3Bedroom LakeView Suite! Memorable Stay!!,Entire home,Toronto,$99 ,310 reviews,4.79,"['10 guests', '3 bedrooms', '5 beds', '2 baths', '\U000f0004\n883 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
"3 BR, 2 BA+PARKING - JURASSIC PARK, CN TOWER, JAYS",Entire home,Toronto,$149 ,191 reviews,4.75,"['8 guests', '3 bedrooms', '4 beds', '2 baths', '\U000f0004\n191 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts and guests agree to follow our community standards, including commitments to safety and privacy.']"
