*City View Studio 3 mins to University and Subway*,Entire home,Toronto,$99,41 reviews,4.95,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n41 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub', 'All hosts must meet our requirements and maintain a high overall rating.']"
High Floor | Balcony | Fast WiFi | ❤️ of Downtown,Entire home,Toronto,$90,316 reviews,4.85,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n480 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Cozy, Private Studio Flat 21 min to downtown by GO",Entire home,Toronto,,,4.89,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n731 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Pool', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Chic, Modern condo downtown by Scotiabank Arena!",Entire home,Toronto,$54,106 reviews,4.60,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n548 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Cozy 1 bedroom apartment (2 beds) close to subway.,Entire home,Toronto,$54,506 reviews,4.79,"['2 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n506 Reviews', '\U000f0019\nVerified']","['Kitchen', 'Laptop-friendly workspace', 'TV', 'Iron', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
,,,,372 reviews,,[],[]
Japan Inspired Studio Apartment,Entire home,Toronto,$61,392 reviews,4.37,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7991 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
"LUX, bright 1bedroom, Parkn.gameroom,Jacuzi,netflx",Entire home,Toronto,$18,47 reviews,4.68,"['5 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n193 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Indoor fireplace', 'Wifi', 'All hosts must meet our requirements and maintain a high overall rating.']"
Studio Yellow at Downtown Core,Entire home,Toronto,$77,380 reviews,4.46,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7991 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Retro 1 bedroom apartment at downtown core,Entire home,Toronto,$71,372 reviews,4.33,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n7991 Reviews', '\U000f0019\nVerified']","['Air conditioning', 'Dryer', 'Essentials', 'Heating', 'All hosts must meet our requirements and maintain a high overall rating.']"
