"The Westin Harbour Castle, Toronto, Toronto",HOTEL,$143 CAD,,"See all 2,355 Hotels.com reviews",Good7.0,"1 room, 1 adult","['43.640934', '-79.37571']"
"Alexandra Hotel, Toronto",HOTEL,$99 CAD,,See all 518 Hotels.com reviews,Fair5.8,"1 room, 1 adult","['43.649823', '-79.402891']"
"Holiday Inn Oakville Centre, Oakville",HOTEL,$121 CAD,,See all 261 Hotels.com reviews,Good6.2,"1 room, 1 adult","['43.457708', '-79.685097']"
"Days Inn by Wyndham Toronto East Beaches, Toronto",HOTEL,$142 CAD,,See all 548 Hotels.com reviews,Good6.4,"1 room, 1 adult","['43.667179', '-79.313069']"
"Park Inn By Radisson Toronto - Markham, Markham",HOTEL,$89 CAD,,"See all 1,402 Hotels.com reviews",Good7.8,"1 room, 1 adult","['43.844195', '-79.365925']"
"Studio 6 Toronto, Toronto",HOTEL,,,See all 158 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.650994', '-79.400833']"
"Novotel Toronto Centre, Toronto",HOTEL,$170 CAD,,"See all 1,601 Hotels.com reviews",10.0,"1 room, 1 adult","['43.646604', '-79.374696']"
"Travelodge by Wyndham Toronto East, Toronto",HOTEL,$129 CAD,,See all 786 Hotels.com reviews,Good7.8,"1 room, 1 adult","['43.788442', '-79.234906']"
"Comfort Inn Airport West, Mississauga",HOTEL,$94 CAD,,See all 816 Hotels.com reviews,Good7.6,"1 room, 1 adult","['43.643042', '-79.629621']"
"Four Points by Sheraton Toronto Airport East, Toronto",HOTEL,$118 CAD,,See all 189 Hotels.com reviews,Good7.2,"1 room, 1 adult","['43.705106', '-79.550441']"
"Holiday Inn Express Toronto - Downtown, Toronto",HOTEL,$149 CAD,,See all 844 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.652296', '-79.372931']"
"Kimpton Saint George, Toronto",HOTEL,$202 CAD,,See all 340 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.667317', '-79.400767']"
"Comfort Inn Toronto North, Toronto",HOTEL,$94 CAD,,See all 409 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.757608', '-79.528278']"
"Four Seasons Hotel Toronto, Toronto",HOTEL,$545 CAD,,See all 172 Hotels.com reviews,Superb9.2,"1 room, 1 adult","['43.671515', '-79.389433']"
"Four Points by Sheraton Toronto Airport, Mississauga",HOTEL,$103 CAD,,"See all 1,078 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.689398', '-79.621664']"
"Novotel Toronto North York, Toronto",HOTEL,$174 CAD,,See all 670 Hotels.com reviews,Good7.2,"1 room, 1 adult","['43.768977', '-79.414387']"
"Toronto Airport Marriott Hotel, Toronto",HOTEL,$143 CAD,,See all 384 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.686726', '-79.593875']"
"Edward Hotel Markham, Markham",HOTEL,$95 CAD,,"See all 1,020 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.847722', '-79.364133']"
"The Fairmont Royal York, Toronto",HOTEL,$169 CAD,,"See all 4,751 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.645527', '-79.381684']"
"Toronto Marriott City Centre Hotel, Toronto",HOTEL,$183 CAD,,See all 655 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.642316', '-79.390872']"
"Cambridge Suites Hotel - Toronto, Toronto",HOTEL,$155 CAD,,"See all 2,428 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.65169', '-79.37819']"
"Hotel Victoria, Toronto",HOTEL,$152 CAD,,"See all 1,074 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.648206', '-79.377512']"
"Delta Hotels by Marriott Toronto Airport & Conference Centre, Toronto",HOTEL,$125 CAD,,"See all 1,265 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.689844', '-79.578467']"
